By,Dato,Maksimumstemperatur
Oslo,01.04.2021,11.2
Oslo,02.04.2021,10.8
Oslo,03.04.2021,10.5
Oslo,04.04.2021,11.0
Oslo,05.04.2021,8.7
Oslo,06.04.2021,9.2
Oslo,07.04.2021,8.9
Oslo,08.04.2021,7.3
Oslo,09.04.2021,10.3
Oslo,10.04.2021,9.5
Oslo,11.04.2021,8.3
Oslo,12.04.2021,4.3
Oslo,13.04.2021,7.3
Oslo,14.04.2021,10.6
Oslo,15.04.2021,12.0
Oslo,16.04.2021,13.0
Oslo,17.04.2021,15.7
Oslo,18.04.2021,18.2
Oslo,19.04.2021,18.1
Oslo,20.04.2021,16.2
Oslo,21.04.2021,11.9
Oslo,22.04.2021,11.1
Oslo,23.04.2021,11.5
Oslo,24.04.2021,8.7
Oslo,25.04.2021,8.5
Oslo,26.04.2021,10.9
Oslo,27.04.2021,10.6
Oslo,28.04.2021,10.6
Oslo,29.04.2021,11.3
Oslo,30.04.2021,13.0
Stavanger,01.04.2021,9.0
Stavanger,02.04.2021,9.9
Stavanger,03.04.2021,9.5
Stavanger,04.04.2021,6.4
Stavanger,05.04.2021,5.6
Stavanger,06.04.2021,3.9
Stavanger,07.04.2021,6.9
Stavanger,08.04.2021,6.4
Stavanger,09.04.2021,6.5
Stavanger,10.04.2021,7.7
Stavanger,11.04.2021,7.4
Stavanger,12.04.2021,10.1
Stavanger,13.04.2021,8.7
Stavanger,14.04.2021,9.3
Stavanger,15.04.2021,11.4
Stavanger,16.04.2021,12.3
Stavanger,17.04.2021,13.5
Stavanger,18.04.2021,16.5
Stavanger,19.04.2021,18.8
Stavanger,20.04.2021,15.4
Stavanger,21.04.2021,8.5
Stavanger,22.04.2021,8.7
Stavanger,23.04.2021,9.7
Stavanger,24.04.2021,10.0
Stavanger,25.04.2021,9.7
Stavanger,26.04.2021,9.8
Stavanger,27.04.2021,10.8
Stavanger,28.04.2021,11.9
Stavanger,29.04.2021,12.4
Stavanger,30.04.2021,11.2
Bergen,01.04.2021,9.8
Bergen,02.04.2021,9.8
Bergen,03.04.2021,8.9
Bergen,04.04.2021,7.2
Bergen,05.04.2021,6.2
Bergen,06.04.2021,6.1
Bergen,07.04.2021,6.9
Bergen,08.04.2021,6.0
Bergen,09.04.2021,7.4
Bergen,10.04.2021,7.4
Bergen,11.04.2021,8.1
Bergen,12.04.2021,11.3
Bergen,13.04.2021,9.2
Bergen,14.04.2021,8.1
Bergen,15.04.2021,11.5
Bergen,16.04.2021,13.4
Bergen,17.04.2021,16.0
Bergen,18.04.2021,18.0
Bergen,19.04.2021,19.1
Bergen,20.04.2021,13.1
Bergen,21.04.2021,8.8
Bergen,22.04.2021,9.5
Bergen,23.04.2021,10.0
Bergen,24.04.2021,9.6
Bergen,25.04.2021,10.4
Bergen,26.04.2021,11.4
Bergen,27.04.2021,10.8
Bergen,28.04.2021,11.6
Bergen,29.04.2021,12.4
Bergen,30.04.2021,13.5
Trondheim,01.04.2021,3.4
Trondheim,02.04.2021,3.8
Trondheim,03.04.2021,5.8
Trondheim,04.04.2021,8.1
Trondheim,05.04.2021,2.7
Trondheim,06.04.2021,5.5
Trondheim,07.04.2021,3.6
Trondheim,08.04.2021,4.2
Trondheim,09.04.2021,2.7
Trondheim,10.04.2021,2.9
Trondheim,11.04.2021,6.9
Trondheim,12.04.2021,4.7
Trondheim,13.04.2021,3.0
Trondheim,14.04.2021,5.4
Trondheim,15.04.2021,8.1
Trondheim,16.04.2021,10.5
Trondheim,17.04.2021,11.3
Trondheim,18.04.2021,15.3
Trondheim,19.04.2021,14.9
Trondheim,20.04.2021,17.2
Trondheim,21.04.2021,7.5
Trondheim,22.04.2021,4.9
Trondheim,23.04.2021,3.8
Trondheim,24.04.2021,5.5
Trondheim,25.04.2021,5.0
Trondheim,26.04.2021,5.3
Trondheim,27.04.2021,6.5
Trondheim,28.04.2021,6.8
Trondheim,29.04.2021,6.7
Trondheim,30.04.2021,5.6
Tromsø,01.04.2021,3.1
Tromsø,02.04.2021,2.8
Tromsø,03.04.2021,3.1
Tromsø,04.04.2021,2.2
Tromsø,05.04.2021,1.9
Tromsø,06.04.2021,2.8
Tromsø,07.04.2021,1.2
Tromsø,08.04.2021,1.0
Tromsø,09.04.2021,0.1
Tromsø,10.04.2021,1.4
Tromsø,11.04.2021,2.2
Tromsø,12.04.2021,0.8
Tromsø,13.04.2021,1.4
Tromsø,14.04.2021,2.2
Tromsø,15.04.2021,5.3
Tromsø,16.04.2021,5.6
Tromsø,17.04.2021,8.1
Tromsø,18.04.2021,8.0
Tromsø,19.04.2021,10.4
Tromsø,20.04.2021,12.8
Tromsø,21.04.2021,10.3
Tromsø,22.04.2021,3.0
Tromsø,23.04.2021,2.1
Tromsø,24.04.2021,1.9
Tromsø,25.04.2021,2.9
Tromsø,26.04.2021,2.5
Tromsø,27.04.2021,2.2
Tromsø,28.04.2021,0.1
Tromsø,29.04.2021,1.2
Tromsø,30.04.2021,2.0
